,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
18,Agua De Beber,The Astrud Gilberto Album,Astrud Gilberto,1965-01-01,138112,0,0.426,0.645,0.357,0.0,0.0727,-15.628,0.0356,147.846,4
19,Walk On By,Hit Maker!,Burt Bacharach,1997-01-01,183026,0,0.582,0.435,0.48,0.929,0.34,-10.137,0.0295,95.783,4
20,"Lucía Y El Sexo. ""Me Voy A Morir De Tanto Amor""","Una Música De Cine Español, Volumen 1",Various Artists,2003-07-07,162453,27,0.981,0.186,0.183,0.897,0.122,-16.36,0.0408,147.894,3
21,Break It to Me Gently,Hits,Brenda Lee,2012-12-11,154777,0,0.759,0.521,0.341,0.0,0.167,-5.608,0.0262,93.071,3
22,Stranger On The Shore,The Fabulous Mr. Acker Bilk,Acker Bilk,2005,197826,20,0.528,0.252,0.303,0.925,0.11,-13.59,0.0327,73.62,4
23,Misirlou - 1995 Digital Remaster,Best Of Martin Denny's Exotica,Martin Denny,2006-01-01,158653,38,0.608,0.556,0.293,8.18e-05,0.326,-18.801,0.0315,111.259,4
24,Lollipops And Roses,The Best Of Jack Jones,Jack Jones,2003-01-01,252308,0,0.686,0.243,0.192,0.000151,0.149,-15.292,0.033,131.148,5
25,Non Dimenticar,Percy Faith'S Greatest Hits,Percy Faith & His Orchestra,1953,179666,30,0.929,0.156,0.34,0.939,0.449,-12.952,0.0317,81.86,4
26,Sukiyaki,Lost Hits Of The 60's (All Original Artists & Versions),Various Artists,2010-01-01,189520,48,0.707,0.415,0.359,6.53e-05,0.319,-11.094,0.0334,146.029,4
27,The Christmas Waltz,The Doris Day Christmas Album,Doris Day,1964-09-14,171400,20,0.892,0.243,0.336,4.86e-05,0.131,-9.812,0.0282,89.158,3
28,Night and Day,Solo in Rio 1959,Luiz Bonfá,2005-02-22,130173,32,0.684,0.477,0.0896,0.925,0.0999,-16.929,0.0661,182.191,3
29,Caravan,Music For Mad Men - Swingin' Jazz,Various Artists,2008-10-07,133426,0,0.72,0.47,0.44,0.846,0.353,-9.262,0.028,102.971,4
30,I Just Wasn't Made For These Times - Remastered,Pet Sounds (Original Mono & Stereo Mix Versions),The Beach Boys,1966-06-16,195533,47,0.513,0.22,0.581,0.0,0.168,-5.877,0.0374,186.427,4
31,Song Of The Volga Boatmen,Big Bands Of The Swingin' Years: Glenn Miller (Digitally Remastered),Glenn Miller,2010-11-09,184320,0,0.939,0.779,0.306,0.857,0.0818,-9.238,0.071,128.418,4
32,Song to Woody,Bob Dylan,Bob Dylan,1962-03-19,160000,44,0.913,0.53,0.257,0.0299,0.11,-13.968,0.0332,95.538,1
33,I Should Not Be Seeing You,"The Very Best Of Connie Conway, Vol. 1",Connie Conway,2012-08-14,170952,35,0.903,0.561,0.142,0.00174,0.135,-12.419,0.0381,75.991,4
34,He Hit Me (It Felt Like a Kiss),Da Doo Ron Ron: The Very Best of The Crystals,The Crystals,2011-02-22,153266,33,0.571,0.59,0.322,3.6e-05,0.104,-8.987,0.0263,99.623,4
